epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,25566.1,0.75754,0.56502,0.01496,0.90722,0.88519,0.94105,0.73402,0.83723,0.46678,0.02679,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,25996,0.76751,0.56858,0.01509,0.90813,0.88745,0.93954,0.73185,0.83933,0.47041,0.02687,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,26436.1,0.75105,0.5465,0.01487,0.91184,0.88878,0.9402,0.73055,0.83947,0.46893,0.02692,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,26737,0.75345,0.55423,0.01483,0.89954,0.88928,0.9376,0.73084,0.83479,0.47609,0.02665,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,27041.9,0.74344,0.56012,0.0147,0.8927,0.89815,0.93652,0.72722,0.83643,0.47009,0.02673,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,27343.3,0.73266,0.54836,0.01467,0.90557,0.89409,0.93963,0.72878,0.83883,0.465,0.0268,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,27637.7,0.64322,0.31733,0.01785,0.89548,0.8913,0.93847,0.7292,0.83224,0.47455,0.02662,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,27927.8,0.60572,0.28685,0.01665,0.90669,0.87943,0.93954,0.72973,0.8288,0.46263,0.02652,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,28228.1,0.60308,0.28604,0.0164,0.91889,0.8782,0.94046,0.73287,0.83567,0.45995,0.0268,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,28508.9,0.59802,0.27717,0.01636,0.91367,0.87867,0.94301,0.73657,0.83305,0.46188,0.02664,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,28784.6,0.58264,0.26779,0.01585,0.90362,0.89378,0.94083,0.73244,0.83406,0.46273,0.02665,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,29058.1,0.58492,0.25883,0.01584,0.90593,0.89823,0.94188,0.73395,0.83279,0.45556,0.02658,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,29331.7,0.57764,0.25895,0.0158,0.91092,0.89366,0.94202,0.73475,0.83423,0.45688,0.0266,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,29615.8,0.57532,0.25242,0.01568,0.91755,0.88891,0.94033,0.73235,0.83359,0.46498,0.02656,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,29916,0.57045,0.24394,0.01546,0.90563,0.89864,0.93975,0.73138,0.8322,0.4628,0.02649,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,30214,0.55979,0.24762,0.01515,0.90419,0.89696,0.93946,0.73186,0.83145,0.46362,0.02647,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
